,Power
223,77.0
224,68.26923077
225,80.5
226,230.0
227,81.0
228,45.0
229,74.0
230,428.2
231,145.75
232,146.0
233,50.875
234,114.6818182
235,75.5
236,110.0
237,74.21428571
238,89.0
239,125.7058824
240,73.0
241,228.0
242,135.3773585
243,66.66666667
244,60.0
245,104.1666667
246,81.375
247,66.0
248,109.0769231
249,99.52380952
250,110.0
251,220.5
252,199.0
253,135.5
254,72.0
255,89.33333333
256,100.0
257,59.58333333
258,125.0487805
259,84.92682927
260,135.5555556
261,221.0
262,51.4
263,177.0
264,88.73333333
265,99.0
266,82.33333333
267,121.0625
268,82.0
269,67.0
270,150.6086957
271,70.0
272,253.6666667
273,282.25
274,122.6666667
275,108.625
276,89.0
277,75.0
278,63.0
279,94.0
280,134.3333333
281,115.3333333
282,60.0
283,410.0
284,93.6
285,103.0
286,116.25
287,74.0
288,49.13333333
289,190.0
290,69.875
291,60.625
292,103.0833333
293,163.5
294,105.25
295,94.0
296,120.4255319
297,91.75
298,70.25
299,381.0
300,91.75
301,98.0
302,127.6666667
303,390.0
304,111.2
305,45.0
306,316.3333333
307,93.35714286
308,121.0
309,174.3333333
310,101.0
311,190.0
312,103.5
313,63.29411765
314,110.6666667
315,89.2
316,117.7857143
317,114.0
318,126.7777778
319,101.8181818
320,84.0
321,125.36
322,257.5
323,54.5
324,82.15789474
325,119.6666667
326,69.0
327,88.0
328,163.7142857
329,137.5
330,66.35483871
331,121.0
332,98.0
333,29.0
334,93.6
335,54.0
336,113.2826087
337,78.0
338,73.08333333
339,72.85185185
340,224.7777778
341,89.26315789
342,126.1451613
343,147.0
344,188.0
345,81.74193548
346,122.1428571
347,144.375
348,115.4666667
349,141.4444444
350,114.5
351,75.0
352,103.0
353,90.94117647
354,90.85714286
355,368.6666667
356,80.0
357,73.0
358,250.0
359,118.0
360,250.0
361,79.875
362,67.33333333
363,72.625
364,329.0
365,64.0
366,48.0
367,336.0
368,104.2173913
369,120.4255319
370,133.3333333
371,230.0
372,129.5
373,225.0
374,110.0
375,91.44117647
376,114.0
377,196.3361345
378,234.8461538
379,51.0
380,108.3636364
381,102.7261905
382,87.07692308
383,55.0
384,242.0
385,433.5
386,170.0
387,110.0
388,173.0
389,230.0
390,83.0
391,338.0
392,105.5454545
393,121.0
394,239.2
395,51.33333333
396,117.0243902
397,110.0
398,78.4
399,450.0
400,105.0
401,112.0714286
402,419.0
403,123.2666667
404,116.08
405,59.5
406,101.12
407,91.75
408,147.0
409,102.0
410,94.03389831
411,68.57142857
412,89.46153846
413,75.57692308
414,126.1111111
415,60.96296296
416,71.33333333
417,130.25
418,67.95652174
419,87.31034483
420,60.8
421,106.225
422,74.4
423,131.6
424,125.4358974
425,149.7096774
426,86.45454545
427,72.58139535
428,79.76666667
429,80.0
430,94.33333333
431,91.61016949
432,66.97058824
433,105.1692308
434,75.64864865
435,104.2
436,103.6769231
437,225.0
438,182.5714286
439,89.34782609
440,192.4
441,81.66666667
442,76.31578947
443,95.0
444,93.01190476
445,196.3361345
446,145.0
447,137.7741935
448,90.625
449,67.0
450,74.73333333
451,99.0
452,117.7058824
453,53.88235294
454,97.71875
455,199.7272727
456,167.25
457,50.0
458,53.81818182
459,61.27272727
460,124.8571429
461,103.4285714
462,52.84615385
463,53.0
464,114.8202247
465,118.1851852
466,66.42857143
467,51.77777778
468,68.90909091
469,101.8947368
470,178.5555556
471,135.2909091
472,52.38461538
473,103.1086957
474,64.625
475,92.82051282
476,52.44444444
477,85.69230769
478,93.58695652
479,112.75
480,98.04761905
481,63.56410256
482,94.03846154
483,85.71428571
484,113.3529412
485,246.3333333
486,166.3157895
487,69.0
488,80.0
489,113.375
490,85.28
491,114.6538462
492,64.0
493,99.0
494,184.1666667
495,188.3333333
496,73.48837209
497,88.09090909
498,172.3157895
499,50.0
500,104.2264151
501,128.8888889
502,74.0
503,70.72727273
504,84.2
505,117.4311927
506,100.5945946
507,113.3529412
508,96.0
509,115.3
510,78.85294118
511,176.25
512,213.1538462
513,97.6
514,146.122449
515,86.0
516,109.6666667
517,165.0
518,223.5454545
519,92.33333333
520,150.4545455
521,184.0
522,114.0
523,293.5333333
524,70.92156863
525,94.0625
526,117.5789474
527,223.8333333
528,55.375
529,144.6363636
530,105.7142857
531,92.36363636
532,86.63855422
533,70.33333333
534,75.4
535,108.0
536,50.0
537,67.0
538,40.81818182
539,202.125
540,151.6666667
541,213.5
542,166.0
543,47.75
544,40.0
545,96.05263158
546,113.2826087
547,104.2017544
548,115.8333333
549,67.02325581
550,61.0
551,92.30769231
552,75.09090909
553,95.09677419
554,105.875
555,96.92592593
556,103.0
557,120.1538462
558,110.0
559,81.28571429
560,98.2
561,131.6
562,138.2833333
563,82.25
564,88.0
565,190.0
566,109.1052632
567,250.0
568,116.2916667
569,114.2692308
570,48.66666667
571,90.88461538
572,48.0
573,76.0
574,309.0
575,105.0
576,55.0
577,79.30645161
578,53.0
579,115.0
580,113.8
581,110.0
582,59.6
583,210.0
584,126.5
585,420.0
586,82.2
587,107.3793103
588,144.2307692
589,58.44444444
590,68.26923077
591,97.57894737
592,33.33333333
593,111.3076923
594,128.5
595,64.45454545
596,123.9333333
597,82.15789474
598,113.84
599,105.0
600,59.875
601,70.0
602,103.0
603,68.875
604,47.45454545
605,80.42857143
606,148.5185185
607,83.5
608,69.6
609,326.0
610,50.0
611,207.6097561
612,96.0
613,80.5
614,120.3333333
615,51.375
616,50.875
617,235.0
618,55.4
619,66.66666667
620,131.6666667
621,77.0
622,114.6818182
623,125.7058824
624,35.8
625,81.375
626,110.0
627,52.5
628,84.92682927
629,74.0
630,230.0
631,70.0
632,375.0
633,67.0
634,73.23809524
635,74.21428571
636,81.16666667
637,146.0
638,428.2
639,104.1666667
640,109.0769231
641,135.5
642,228.0
643,60.0
644,81.0
645,135.3773585
646,88.73333333
647,145.75
648,199.0
649,51.4
650,82.0
651,99.0
652,59.58333333
653,221.0
654,177.0
655,283.0
656,89.0
657,82.33333333
658,115.3333333
659,63.0
660,220.5
661,69.875
662,121.0625
663,72.0
664,89.0
665,75.0
666,108.625
667,253.6666667
668,122.6666667
669,99.52380952
670,73.0
671,134.3333333
672,45.0
673,94.0
674,110.0
675,94.0
676,135.5555556
677,70.25
678,98.0
679,60.0
680,91.75
