,Fuel
760,petrol
761,petrol
762,diesel
763,diesel
764,petrol
765,petrol
766,diesel
767,petrol
768,petrol
769,diesel
770,petrol
771,petrol
772,petrol
773,petrol
774,diesel
775,petrol
776,petrol
777,petrol
778,petrol
779,petrol
780,petrol
781,petrol
782,petrol
783,petrol
784,petrol
785,petrol
786,petrol
787,petrol
788,petrol
789,petrol
790,petrol
791,petrol
792,petrol
793,diesel
794,diesel
795,petrol
796,petrol
797,petrol
798,petrol
799,diesel
800,petrol
801,petrol
802,petrol
803,petrol
804,petrol
805,petrol
806,petrol
807,petrol
808,petrol
809,petrol
810,petrol
811,petrol
812,petrol
813,petrol
814,petrol
815,petrol
816,petrol
817,petrol
818,petrol
819,petrol
820,petrol
821,petrol
822,petrol
823,petrol
824,petrol
825,petrol
826,petrol
827,diesel
828,petrol
829,petrol
830,petrol
831,petrol
832,diesel
833,diesel
834,petrol
835,petrol
836,petrol
837,petrol
838,petrol
839,petrol
840,petrol
841,petrol
842,diesel
843,petrol
844,petrol
845,petrol
846,diesel
847,petrol
848,petrol
849,petrol
850,petrol
851,diesel
852,petrol
853,diesel
854,petrol
855,petrol
856,petrol
857,petrol
858,petrol
859,petrol
860,diesel
861,petrol
862,petrol
863,petrol
864,petrol
865,diesel
866,diesel
867,petrol
868,diesel
869,petrol
870,petrol
871,petrol
872,petrol
873,petrol
874,petrol
875,petrol
876,petrol
877,petrol
878,petrol
879,petrol
880,petrol
881,diesel
882,diesel
883,diesel
884,diesel
885,petrol
886,diesel
887,petrol
888,petrol
889,petrol
890,diesel
891,petrol
892,petrol
893,diesel
894,petrol
895,petrol
896,petrol
897,petrol
898,petrol
899,petrol
900,petrol
901,petrol
902,petrol
903,petrol
904,petrol
905,diesel
906,petrol
907,petrol
908,petrol
909,diesel
910,petrol
911,petrol
912,petrol
913,diesel
914,petrol
915,diesel
916,petrol
917,petrol
918,petrol
919,petrol
920,diesel
921,petrol
922,petrol
923,diesel
924,petrol
925,petrol
926,petrol
927,automatic
928,petrol
929,diesel
930,petrol
931,petrol
932,petrol
933,petrol
934,petrol
935,petrol
936,diesel
937,petrol
938,petrol
939,petrol
940,petrol
941,petrol
942,petrol
943,diesel
944,petrol
945,diesel
946,petrol
947,petrol
948,petrol
949,petrol
950,petrol
951,petrol
952,diesel
953,petrol
954,petrol
955,petrol
956,petrol
957,petrol
958,petrol
959,petrol
960,petrol
961,petrol
962,petrol
963,diesel
964,petrol
965,petrol
966,petrol
967,petrol
968,diesel
969,petrol
970,petrol
971,diesel
972,petrol
973,diesel
974,petrol
975,petrol
976,petrol
977,petrol
978,petrol
979,petrol
980,petrol
981,petrol
982,automatic
983,petrol
984,petrol
985,petrol
986,petrol
987,petrol
988,petrol
989,petrol
990,petrol
991,petrol
992,petrol
993,diesel
994,petrol
995,petrol
996,petrol
997,petrol
998,petrol
999,petrol
1000,petrol
1001,petrol
1002,petrol
1003,petrol
1004,petrol
1005,diesel
1006,petrol
1007,diesel
1008,petrol
1009,diesel
1010,petrol
1011,petrol
1012,petrol
1013,petrol
1014,petrol
1015,petrol
1016,petrol
1017,diesel
1018,petrol
1019,petrol
1020,petrol
1021,petrol
1022,petrol
1023,petrol
1024,petrol
1025,petrol
1026,petrol
1027,petrol
1028,diesel
1029,automatic
1030,petrol
1031,petrol
1032,diesel
1033,petrol
1034,diesel
1035,petrol
1036,petrol
1037,petrol
1038,petrol
1039,petrol
1040,petrol
1041,petrol
1042,petrol
1043,petrol
1044,petrol
1045,diesel
1046,petrol
1047,petrol
1048,petrol
1049,petrol
1050,petrol
1051,petrol
1052,petrol
1053,petrol
1054,petrol
1055,petrol
1056,petrol
1057,petrol
1058,petrol
1059,petrol
1060,automatic
1061,petrol
1062,petrol
1063,petrol
1064,petrol
1065,petrol
1066,petrol
1067,petrol
1068,petrol
1069,petrol
1070,petrol
1071,petrol
1072,petrol
1073,petrol
1074,petrol
1075,petrol
1076,diesel
1077,petrol
1078,petrol
1079,petrol
1080,petrol
1081,petrol
1082,petrol
1083,petrol
1084,petrol
1085,petrol
1086,petrol
1087,diesel
1088,petrol
1089,petrol
1090,petrol
1091,petrol
1092,petrol
1093,petrol
1094,petrol
1095,petrol
1096,diesel
1097,petrol
1098,petrol
1099,petrol
1100,petrol
1101,petrol
1102,petrol
1103,petrol
1104,diesel
1105,diesel
1106,petrol
1107,petrol
1108,diesel
1109,petrol
1110,petrol
1111,diesel
1112,petrol
1113,petrol
1114,petrol
1115,petrol
1116,petrol
1117,petrol
1118,petrol
1119,petrol
1120,petrol
1121,petrol
1122,petrol
1123,petrol
1124,petrol
1125,petrol
1126,diesel
1127,diesel
1128,petrol
1129,petrol
1130,petrol
1131,petrol
1132,diesel
1133,diesel
1134,petrol
1135,petrol
1136,petrol
1137,petrol
1138,petrol
1139,petrol
1140,petrol
1141,petrol
1142,petrol
1143,petrol
1144,petrol
1145,petrol
1146,petrol
1147,petrol
1148,petrol
1149,diesel
1150,petrol
1151,petrol
1152,petrol
1153,petrol
1154,petrol
1155,petrol
1156,diesel
1157,petrol
1158,diesel
1159,petrol
1160,petrol
1161,petrol
1162,petrol
1163,petrol
1164,petrol
1165,diesel
1166,petrol
1167,petrol
1168,petrol
1169,petrol
1170,petrol
1171,petrol
1172,diesel
1173,diesel
1174,diesel
1175,petrol
1176,petrol
1177,petrol
1178,petrol
1179,diesel
1180,petrol
1181,diesel
1182,petrol
1183,petrol
1184,diesel
1185,petrol
1186,petrol
1187,petrol
1188,petrol
1189,petrol
1190,diesel
1191,petrol
1192,petrol
1193,petrol
1194,petrol
1195,petrol
1196,petrol
1197,petrol
1198,petrol
1199,petrol
1200,petrol
1201,petrol
1202,petrol
1203,petrol
1204,petrol
1205,petrol
1206,petrol
1207,petrol
1208,petrol
1209,petrol
1210,petrol
1211,petrol
1212,petrol
1213,petrol
1214,petrol
1215,petrol
1216,petrol
1217,petrol
1218,petrol
1219,diesel
1220,petrol
1221,petrol
1222,petrol
1223,petrol
1224,diesel
1225,petrol
1226,petrol
1227,diesel
1228,petrol
1229,petrol
1230,petrol
1231,diesel
1232,petrol
1233,petrol
1234,petrol
1235,petrol
1236,petrol
1237,petrol
1238,petrol
1239,petrol
1240,petrol
1241,diesel
1242,petrol
1243,diesel
1244,petrol
1245,petrol
1246,diesel
1247,petrol
1248,petrol
1249,diesel
1250,petrol
1251,petrol
1252,petrol
1253,petrol
1254,petrol
1255,petrol
1256,petrol
1257,petrol
1258,petrol
1259,petrol
1260,petrol
1261,petrol
1262,petrol
1263,petrol
1264,petrol
1265,diesel
1266,petrol
1267,petrol
1268,diesel
1269,diesel
1270,petrol
1271,diesel
1272,diesel
1273,diesel
1274,diesel
1275,petrol
1276,petrol
1277,petrol
1278,petrol
1279,diesel
1280,petrol
1281,petrol
1282,petrol
1283,diesel
1284,diesel
1285,petrol
1286,petrol
1287,petrol
1288,petrol
1289,petrol
1290,petrol
1291,petrol
1292,petrol
1293,petrol
1294,petrol
1295,petrol
1296,petrol
