,Price
380,33.43590909
381,37.31220238
382,18.84548718
383,17.325
384,85.05325
385,175.835
386,44.852
387,46.60136364
388,69.397
389,88.46428571
390,22.127
391,245.168
392,30.86290909
393,57.59
394,74.609
395,13.191
396,35.86943902
397,34.14
398,17.5296
399,646.605
400,34.33029412
401,35.27
402,177.5
403,42.55733333
404,37.904
405,14.350125
406,37.32636
407,39.721
408,61.235
409,24.84
410,30.61932203
411,18.53214286
412,31.24215385
413,22.1
414,47.84837037
415,18.1925
416,20.03375
417,39.97375
418,20.3776087
419,26.4498867
420,15.46
421,29.942625
422,20.7206
423,46.5274
424,46.06451282
425,57.92693548
426,27.46483636
427,22.36209302
428,21.70216667
429,26.3525
430,36.21929825
431,27.23911864
432,19.00794118
433,43.86363077
434,22.90364865
435,37.4265
436,37.31523077
437,93.71425
438,107.4521429
439,32.06304348
440,78.07322727
441,22.78208333
442,19.93814035
443,30.65053846
444,31.1045119
445,107.6705126
446,49.28583333
447,43.54851613
448,29.26025
449,18.64264
450,26.29166667
451,34.02059211
452,39.39984314
453,12.35588235
454,34.93603125
455,82.06090909
456,65.56875
457,11.14333333
458,12.32981818
459,19.37890909
460,53.78571429
461,37.46857143
462,16.59192308
463,15.20916667
464,32.93965169
465,42.66935185
466,19.31857143
467,16.011
468,19.08518182
469,30.99513158
470,64.59222222
471,50.96109091
472,13.48615385
473,32.33086957
474,21.6
475,28.60820513
476,10.42388889
477,26.97346154
478,26.51269565
479,33.25025
480,39.35238095
481,16.20874359
482,32.98557692
483,26.803
484,35.28132353
485,113.2693333
486,72.79589474
487,13.63642857
488,22.95871429
489,47.361875
490,27.4386
491,38.72769231
492,15.14
493,32.1815
494,61.86283333
495,77.41666667
496,17.03876744
497,26.97522727
498,66.58842105
499,9.5628
500,34.9090566
501,47.52333333
502,17.182
503,21.847
504,23.322
505,35.81481651
506,28.60918919
507,36.52419118
508,33.798
509,43.97
510,25.39952941
511,78.74625
512,85.82946154
513,30.5976
514,52.95719388
515,28.23090909
516,31.5255
517,38.7525
518,137.5695455
519,21.02333333
520,59.43242424
521,76.5922
522,45.6995
523,158.7922667
524,17.34364706
525,30.3775
526,39.70773684
527,52.085
528,19.9680625
529,44.14181818
530,41.38957143
531,22.77681818
532,27.08277108
533,17.82333333
534,14.293
535,44.30857143
536,9.8628
537,25.94322222
538,9.492272727
539,64.109625
540,36.01325
541,83.50125
542,59.0
543,13.88308333
544,8.17
545,27.13
546,32.4898913
547,43.06842105
548,49.82277778
549,18.76848837
550,19.45142857
551,22.455
552,22.12540909
553,25.3433871
554,31.195
555,31.30566667
556,34.19
557,33.70615385
558,51.646
559,23.35964286
560,32.09
561,46.5274
562,50.94
563,20.36464286
564,20.6695
565,94.098125
566,29.88478947
567,115.533
568,32.898125
569,40.98307692
570,12.49833333
571,23.01661538
572,11.370625
573,18.513
574,135.1055
575,43.08
576,23.0525
577,25.17006452
578,11.389
579,39.7374
580,42.2862
581,39.725
582,14.94
583,106.5488889
584,52.19640625
585,264.675
586,22.69
587,37.52210345
588,64.50769231
589,17.31777778
590,17.44569231
591,37.01736842
592,7.92
593,41.59161538
594,42.74666667
595,14.22409091
596,51.44133333
597,23.16515789
598,38.9
599,30.99
600,14.333375
601,26.0
602,33.12857143
603,20.9225
604,13.70454545
605,18.76285714
606,58.46907407
607,30.351
608,18.615
609,158.976
610,9.465666667
611,108.7471951
612,32.723
613,25.2075
614,37.44666667
615,17.065625
616,13.11525
617,114.8758333
618,13.1466
619,13.24516667
620,42.5595
621,26.19775
622,37.00904545
623,36.38445588
624,13.2053
625,20.7195
626,30.236875
627,11.395
628,24.84390244
629,18.88233333
630,116.545
631,17.22277778
632,171.1333333
633,16.05676923
634,22.84857143
635,20.37
636,23.58666667
637,60.9552
638,285.247
639,45.59125
640,45.76307692
641,62.39565385
642,60.87
643,24.674
644,33.495
645,43.26150943
646,36.64326667
647,55.62
648,70.31925
649,14.7754
650,23.22409091
651,30.352
652,18.657
653,55.4225
654,55.25
655,145.6466667
656,29.151
657,20.20388889
658,32.11766667
659,-11.74
660,84.60125
661,20.43008333
662,37.350625
663,24.612
664,27.4066
665,20.74
666,26.59125
667,95.29916667
668,53.62733333
669,42.50666667
670,-22.047
671,53.792
672,10.83275
673,19.895
674,33.40333333
675,25.29875
676,38.93888889
677,18.2955625
678,19.71783333
679,24.35
680,27.09825
681,36.70125
682,125.49625
683,360.755
684,32.73833333
685,55.2
686,20.21333333
687,27.78966667
688,7.712
689,28.803
690,41.616
691,23.16515789
692,44.62833333
693,29.57028571
694,273.755
695,48.09553571
696,19.055
697,16.4455
698,20.27896296
699,21.105625
700,27.935
701,56.15916667
702,25.08266667
703,30.839
704,57.22905851
705,134.789
706,20.31264706
707,17.31241935
708,35.37645833
709,33.8615625
710,12.6825
711,17.587
712,50.48413043
713,31.7425
714,88.77777778
715,28.17
716,54.2675
717,20.1241875
718,15.16166667
719,46.85390244
720,121.77
721,43.9745
722,27.12333333
723,59.4905
724,11.7129
725,36.90769355
726,22.95383333
727,21.91166667
728,30.0062
729,53.10142857
730,105.465
731,13.44125
732,35.72526667
733,87.12
734,38.48247059
735,87.487
736,76.71
737,35.34
738,59.05425
739,42.93428571
740,37.471875
741,81.295
742,47.881
743,78.47722222
744,40.7645
745,57.22905851
746,30.081
747,18.84548718
748,16.695
749,158.823
750,22.49
751,28.96891667
752,107.6705126
753,13.382
754,38.025
755,23.8115
756,11.745
757,35.535
758,21.65952381
759,226.3833333
760,30.86290909
761,22.127
762,24.75629032
763,37.773
764,32.4898913
765,13.191
766,46.60136364
767,146.2746154
768,31.1275
769,37.04635294
770,69.397
771,35.86943902
772,14.350125
773,88.46428571
774,37.31220238
775,173.506625
776,24.84
777,175.835
778,85.05325
779,17.325
780,9.358333333
781,37.32636
782,17.5296
783,16.29053333
784,22.91875
785,11.917
786,16.67175
787,23.245
788,245.168
789,14.4382
790,74.609
791,646.605
792,35.27
793,57.59
794,34.33029412
795,35.29583333
796,28.9602
797,177.5
798,61.235
799,45.78386047
