,Female
954,"1,676"
955,"7,503"
956,"7,382"
957,"4,924"
958,"3,957"
959,"4,561"
960,"2,321"
961,"9,802"
962,"3,832"
963,"5,065"
964,"6,643"
965,"1,537"
966,"10,314"
967,"6,068"
968,"4,348"
969,"8,291"
970,"3,636"
971,"4,084"
972,"6,943"
973,"4,124"
974,"4,803"
975,"3,217"
976,"4,310"
977,"6,572"
978,"8,227"
979,"6,112"
980,"5,230"
981,"1,978"
982,"3,052"
983,"8,784"
984,"5,432"
985,"8,058"
986,"5,400"
987,"4,781"
988,"2,626"
989,"3,396"
990,"2,397"
991,"7,014"
992,"7,569"
993,"3,350"
994,"7,991"
995,"10,775"
996,"2,979"
997,"4,962"
998,"1,598"
999,"3,903"
1000,"5,204"
1001,"5,148"
1002,"2,283"
1003,"6,444"
1004,"3,742"
1005,"2,232"
1006,"5,868"
1007,"2,501"
1008,"5,513"
1009,"3,798"
1010,"5,117"
1011,"5,075"
1012,"2,664"
1013,"3,812"
1014,"1,471"
1015,"3,176"
1016,"4,844"
1017,"3,726"
1018,"5,997"
1019,"3,721"
1020,"3,245"
1021,"2,250"
1022,714
1023,"1,640"
1024,"1,655"
1025,"1,564"
1026,921
1027,"2,885"
1028,"2,685"
1029,"4,431"
1030,"1,801"
1031,"3,463"
1032,"1,995"
1033,"3,963"
1034,"2,638"
1035,"3,714"
1036,"1,640"
1037,"2,439"
1038,858
1039,"2,539"
1040,"1,261"
1041,"2,171"
1042,767
1043,"3,482"
1044,"1,440"
1045,894
1046,"3,524"
1047,885
1048,"1,234"
1049,"2,319"
1050,"2,101"
1051,"3,300"
1052,703
1053,"2,060"
1054,"1,036"
1055,"1,699"
1056,830
1057,"1,633"
1058,979
1059,"2,478"
1060,"2,434"
1061,551
1062,"1,927"
1063,"2,636"
1064,"1,840"
1065,"1,167"
1066,"2,078"
1067,"1,757"
1068,"1,551"
1069,631
1070,783
1071,"1,531"
1072,"1,233"
1073,"1,449"
1074,"1,083"
1075,"1,365"
1076,"1,231"
1077,"1,183"
1078,763
1079,"1,478"
1080,"1,246"
1081,522
1082,318
1083,"1,029"
1084,746
1085,"1,166"
1086,"1,024"
1087,823
1088,704
1089,649
1090,"1,161"
1091,268
1092,"1,232"
1093,559
1094,"1,613"
1095,"1,193"
1096,"1,535"
1097,"1,101"
1098,936
1099,"1,452"
1100,"1,085"
1101,514
1102,321
1103,199
1104,775
1105,575
1106,298
1107,259
1108,565
1109,"1,038"
1110,694
1111,456
1112,513
1113,"1,000"
1114,"1,277"
1115,"1,034"
1116,281
1117,451
1118,349
1119,307
1120,396
1121,269
1122,638
1123,775
1124,"1,035"
1125,676
1126,172
1127,436
1128,300
1129,739
1130,"1,077"
1131,495
1132,559
1133,516
1134,684
1135,448
1136,658
1137,676
1138,175
1139,699
1140,"1,051"
1141,"1,182"
1142,263
1143,"1,322"
1144,547
1145,474
1146,578
1147,863
1148,202
1149,264
1150,371
1151,385
1152,227
1153,116
1154,593
1155,198
1156,254
1157,582
1158,513
1159,"1,092"
1160,349
1161,247
1162,275
1163,112
1164,166
1165,257
1166,450
1167,325
1168,109
1169,263
1170,475
1171,428
1172,199
1173,264
1174,109
1175,372
1176,103
1177,404
1178,336
1179,353
1180,92
1181,117
1182,112
1183,166
1184,288
1185,46
1186,74
1187,471
1188,155
1189,69
1190,319
1191,50
1192,84
1193,386
1194,380
1195,281
1196,392711
1197,588993
1198,293772
1199,363332
1200,"93,119"
1201,126492
1202,319509
1203,283138
1204,287718
1205,196491
1206,303703
1207,140025
1208,188095
1209,104599
1210,120643
1211,"48,243"
1212,"64,666"
1213,"57,446"
1214,"80,049"
1215,104954
1216,"72,799"
1217,102610
1218,"61,382"
1219,"58,195"
1220,"32,101"
1221,"59,282"
1222,"71,835"
1223,"20,704"
1224,"31,796"
1225,"73,068"
1226,"40,342"
1227,"28,712"
1228,"78,427"
1229,"20,452"
1230,"66,060"
1231,"54,110"
1232,"59,467"
1233,"30,036"
1234,"65,307"
1235,"21,015"
1236,"56,484"
1237,"20,095"
1238,"21,444"
1239,"52,439"
1240,"20,646"
1241,"28,709"
1242,"15,165"
1243,"17,760"
1244,"43,531"
1245,"33,763"
1246,"12,911"
1247,"35,137"
1248,"27,174"
1249,"14,985"
1250,"15,278"
1251,"23,925"
1252,"11,473"
1253,"39,208"
1254,"27,897"
1255,"29,705"
1256,"42,472"
1257,"26,172"
1258,"45,482"
1259,"15,684"
1260,"46,146"
1261,"39,620"
1262,"32,745"
1263,"18,331"
1264,"32,079"
1265,"23,794"
1266,"34,023"
1267,"32,674"
1268,"14,010"
1269,"21,142"
1270,"13,399"
1271,"12,814"
1272,"8,874"
1273,"35,197"
1274,"18,683"
1275,"29,400"
1276,"13,555"
1277,"5,948"
1278,"17,862"
1279,"14,441"
1280,"19,082"
1281,"24,460"
1282,"17,266"
1283,"7,651"
1284,"13,327"
1285,"26,360"
1286,"7,947"
1287,"18,023"
1288,"22,839"
1289,"10,138"
1290,"11,795"
1291,"16,667"
1292,"6,874"
1293,"15,077"
1294,"24,629"
1295,"3,206"
1296,"20,161"
1297,"8,875"
1298,"12,912"
1299,"10,862"
1300,"3,241"
1301,"8,792"
1302,"4,833"
1303,"9,489"
1304,"14,380"
1305,"18,077"
1306,"7,984"
1307,"8,047"
1308,"9,705"
1309,"9,965"
1310,"10,020"
1311,"13,698"
1312,"6,076"
1313,"9,405"
1314,"12,947"
1315,"6,328"
1316,"15,747"
1317,"7,668"
1318,"4,845"
1319,"10,207"
1320,"15,434"
1321,"9,333"
1322,"8,267"
1323,"8,345"
1324,"11,403"
1325,"6,263"
1326,"7,428"
1327,"8,051"
1328,"8,051"
1329,"10,089"
1330,"2,309"
1331,"5,954"
1332,"10,792"
1333,"5,495"
1334,"1,999"
1335,"9,926"
1336,"9,646"
1337,"8,022"
1338,"5,545"
1339,"7,899"
1340,"1,855"
1341,"7,204"
1342,"3,721"
1343,"2,625"
1344,"5,591"
1345,"7,146"
1346,"8,681"
1347,"10,861"
1348,"7,677"
1349,"7,029"
1350,"5,784"
1351,"4,685"
1352,"5,630"
1353,"4,383"
1354,"3,165"
1355,"3,958"
1356,"6,676"
1357,"6,547"
1358,"7,003"
1359,"1,654"
1360,"3,209"
1361,"3,675"
1362,"3,791"
1363,"8,512"
1364,"3,656"
1365,"6,960"
1366,"2,138"
1367,"3,403"
1368,"4,817"
1369,"2,094"
1370,"6,341"
1371,"4,779"
1372,"4,195"
1373,"2,833"
1374,"3,327"
1375,"3,801"
1376,"5,564"
1377,"5,716"
1378,"4,817"
1379,"8,598"
1380,"5,342"
1381,"8,458"
1382,"7,640"
1383,"5,698"
1384,"6,819"
1385,"11,159"
1386,"2,464"
1387,"5,536"
1388,"7,165"
1389,"6,143"
1390,"4,947"
1391,"5,225"
1392,"3,196"
1393,"6,961"
1394,"2,838"
1395,"2,178"
1396,"1,322"
1397,"2,131"
1398,"3,553"
1399,"5,696"
1400,"2,411"
1401,"1,800"
1402,"3,816"
1403,"2,229"
1404,"5,138"
1405,"1,433"
1406,"2,487"
1407,"2,225"
1408,"4,415"
1409,"1,714"
1410,"2,007"
1411,"2,673"
1412,659
1413,"2,896"
1414,"2,751"
1415,"3,020"
1416,911
1417,"2,667"
1418,"3,955"
1419,"2,759"
1420,"4,401"
1421,"3,835"
1422,"2,560"
1423,945
1424,"2,309"
1425,"4,434"
1426,"3,826"
1427,"1,838"
1428,780
1429,"1,702"
1430,"1,543"
1431,"2,119"
1432,"1,105"
1433,"3,249"
1434,724
1435,"1,912"
1436,"3,367"
1437,"1,163"
1438,"1,877"
1439,930
1440,"2,284"
1441,626
1442,"1,497"
1443,"1,879"
1444,"3,045"
1445,"2,610"
1446,"2,141"
1447,985
1448,"1,000"
1449,"1,908"
1450,"1,484"
1451,"1,880"
1452,905
1453,"1,831"
1454,"1,466"
1455,747
1456,702
1457,"1,625"
1458,"1,869"
1459,"1,816"
1460,"1,517"
1461,"1,555"
1462,585
1463,590
1464,"1,614"
1465,"1,057"
1466,"1,147"
1467,"1,223"
1468,824
1469,663
1470,757
1471,658
1472,"1,670"
1473,"1,955"
1474,503
1475,"1,911"
1476,305
1477,"1,105"
1478,825
1479,"1,200"
1480,"1,009"
1481,"1,251"
1482,258
1483,"1,005"
1484,"1,529"
1485,384
1486,366
1487,"1,081"
1488,607
1489,565
1490,"1,332"
1491,187
1492,523
1493,364
1494,784
1495,370
1496,919
1497,"1,551"
1498,"1,020"
1499,504
1500,342
1501,276
1502,741
1503,"1,299"
1504,227
1505,563
1506,"1,263"
1507,688
1508,"1,376"
1509,513
1510,510
1511,498
1512,"1,228"
1513,"1,112"
1514,835
1515,627
1516,747
1517,461
1518,487
1519,371
1520,897
1521,335
1522,284
1523,180
1524,707
1525,725
1526,342
1527,780
1528,532
1529,"1,252"
1530,482
1531,379
1532,"1,328"
1533,224
1534,599
1535,434
1536,424
1537,365
1538,621
1539,510
1540,649
1541,564
1542,233
1543,176
1544,482
1545,568
1546,187
1547,223
1548,483
1549,554
1550,96
1551,407
1552,154
1553,450
1554,299
1555,217
1556,564
1557,290
1558,97
1559,101
1560,307
1561,395
1562,549
1563,98
1564,391
1565,278
1566,414
1567,435
1568,94
1569,294
1570,280
1571,43
1572,87
1573,50
1574,154
1575,171
1576,298
1577,475
1578,355
1579,124
1580,54
1581,166
1582,90
1583,579692
1584,369115
1585,287278
1586,372428
1587,102395
1588,130854
1589,333388
1590,278717
1591,297084
1592,204186
1593,305300
1594,140718
1595,177217
1596,104949
1597,118282
1598,"63,720"
1599,"46,749"
1600,"54,990"
1601,"83,982"
1602,"60,812"
1603,"73,358"
1604,123251
1605,"65,636"
1606,"89,102"
1607,"93,233"
1608,"31,332"
1609,"56,616"
1610,"33,628"
1611,"62,889"
1612,"20,821"
1613,"32,043"
1614,"78,017"
1615,"66,592"
1616,"24,860"
1617,"80,639"
1618,"19,167"
1619,"48,044"
1620,"70,830"
1621,"21,163"
1622,"47,681"
1623,"24,313"
1624,"62,769"
1625,"55,929"
1626,"28,671"
1627,"55,682"
1628,"19,714"
1629,"29,356"
1630,"42,607"
1631,"14,859"
1632,"44,378"
1633,"15,715"
1634,"12,219"
1635,"12,137"
1636,"58,183"
1637,"14,957"
1638,"31,678"
1639,"29,352"
1640,"21,919"
1641,"13,776"
1642,"36,514"
1643,"16,077"
1644,"21,504"
1645,"26,815"
1646,"45,202"
1647,"18,779"
1648,"31,727"
1649,"22,710"
1650,"14,483"
1651,"37,013"
1652,"33,462"
1653,"20,394"
1654,"14,943"
1655,"27,704"
1656,"13,207"
1657,"32,009"
1658,"6,173"
1659,"28,713"
1660,"19,982"
1661,"11,684"
1662,"8,254"
1663,"7,568"
1664,"8,327"
1665,"12,941"
1666,"13,991"
1667,"16,457"
1668,"10,669"
1669,"12,648"
1670,"22,842"
1671,"27,046"
1672,"16,352"
1673,"26,330"
1674,"7,000"
1675,"22,246"
1676,"24,382"
1677,"3,554"
1678,"16,544"
1679,"13,509"
1680,"14,947"
1681,"13,435"
1682,"9,356"
1683,"8,062"
1684,"13,308"
1685,"9,826"
1686,"12,727"
1687,"10,844"
1688,"18,028"
1689,"20,428"
1690,"21,048"
1691,"4,733"
1692,"14,683"
1693,"3,179"
1694,"5,733"
1695,"11,498"
1696,"11,062"
1697,"5,333"
1698,"15,123"
1699,"13,791"
1700,"9,229"
1701,"9,970"
1702,"10,273"
1703,"6,342"
1704,"8,124"
1705,"6,356"
1706,"7,869"
1707,"16,174"
1708,"11,027"
1709,"6,560"
1710,"8,499"
1711,"11,838"
1712,"9,740"
1713,"8,164"
1714,"2,251"
1715,"6,909"
1716,"6,227"
1717,"6,204"
1718,"13,613"
1719,"6,275"
1720,"10,953"
1721,"10,731"
1722,"5,472"
1723,"3,073"
1724,"3,928"
1725,"6,906"
1726,"5,642"
1727,"12,092"
1728,"1,955"
1729,"7,360"
1730,"4,691"
1731,"2,580"
1732,"5,055"
1733,"3,657"
1734,"7,898"
1735,"5,339"
1736,"6,812"
1737,"3,416"
1738,"8,164"
1739,"4,106"
1740,"7,033"
1741,"7,216"
1742,"8,794"
1743,"7,915"
1744,"5,480"
1745,"5,835"
1746,"1,712"
1747,"7,915"
1748,"3,665"
1749,"6,402"
1750,"8,604"
1751,"2,229"
1752,"3,314"
1753,"3,357"
1754,"5,721"
1755,"5,198"
1756,"4,549"
1757,"4,508"
1758,"9,177"
1759,"1,872"
1760,"5,639"
1761,"3,083"
1762,"2,669"
1763,"4,698"
1764,"7,626"
1765,"3,779"
1766,"11,749"
1767,"3,549"
1768,"4,675"
1769,"5,792"
1770,"6,488"
1771,"5,010"
1772,"6,259"
