Unnamed: 0,Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
147,Jaguar,XK,145.6466667,6.0,283.0,5000.0,petrol,"3,013","20,604","1,154","24,771"
148,Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,diasel,"9,495","14,157",999,"24,651"
149,Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,petrol,"9,639","13,551","1,421","24,611"
150,Hyundai,Accent,14.293,4.6,75.4,1479.0,petrol,"8,849","13,520","1,296","23,665"
151,Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,petrol,"12,512","8,828","1,320","22,660"
152,Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,diesel,"2,239","18,660","1,630","22,529"
153,Hyundai,Ix35,38.9,5.84,113.84,1926.0,diasel,"7,991","13,708",660,"22,359"
154,Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,diesel,"7,486","13,273","1,332","22,091"
155,Mazda,5,22.12540909,5.5,75.09090909,1622.681818,petrol,"8,561","12,385","1,099","22,045"
156,Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,"4,610","16,259",989,"21,858"
157,Seat,Alhambra,49.82277778,6.0,115.8333333,1746.944444,petrol,"5,610","14,659","1,284","21,553"
158,Renault,Espace,59.0,7.0,166.0,1798.0,petrol,"5,657","14,370","1,245","21,272"
159,Suzuki,Ignis,19.45142857,3.571428571,61.0,1197.0,petrol,"10,103","9,623","1,499","21,225"
160,Suzuki,SX4,20.6695,4.75,88.0,1586.0,petrol,"9,035","10,925","1,217","21,177"
161,Kia,Carens,31.195,6.0,105.875,1755.75,petrol,"6,193","13,424",866,"20,483"
162,Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,diesel,"6,588","12,761","1,044","20,393"
163,Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,"2,550","16,634","1,069","20,253"
164,Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,diesel,"5,531","13,570",989,"20,090"
165,Subaru,Forester,51.646,0.0,110.0,1995.0,petrol,"5,511","13,236","1,307","20,054"
166,Skoda,Yeti,30.351,6.3,83.5,1452.3,petrol,"5,800","13,365",883,"20,048"
167,Volkswagen,Touareg,94.098125,8.0,190.0,2967.0,diesel,"4,973","14,059",906,"19,938"
168,Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,"10,570","7,901","1,075","19,546"
169,Skoda,Superb,39.725,6.8,110.0,1592.0,petrol,"2,367","16,399",763,"19,529"
170,Fiat,Bravo,22.455,6.0,92.30769231,1466.307692,petrol,"7,015","11,663",837,"19,515"
171,BMW,X1,51.44133333,7.2,123.9333333,1863.133333,diesel,"7,442","10,717","1,268","19,427"
172,Audi,Q7,106.5488889,8.0,210.0,2976.333333,diesel,"4,579","13,244",981,"18,804"
173,Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,petrol,"5,743","11,552","1,064","18,359"
174,Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,"5,595","11,658",925,"18,178"
175,BMW,740i,115.533,8.0,250.0,2998.0,petrol,"1,519","15,286","1,055","17,860"
176,MG,TF,32.09,4.0,98.2,1754.4,petrol,"6,485","10,315",930,"17,730"
177,Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,diesel,"2,261","14,400",963,"17,624"
178,Volkswagen,Fox,12.49833333,5.0,48.66666667,1336.666667,petrol,"10,468","6,154",995,"17,617"
179,Renault,Twingo,14.94,5.2,59.6,958.6,petrol,"10,447","6,015",672,"17,134"
180,Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,petrol,"3,703","12,773",607,"17,083"
181,Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,diesel,"4,440","11,730",900,"17,070"
182,Volkswagen,Eos,42.2862,6.0,113.8,1740.0,petrol,"9,047","6,660","1,352","17,059"
183,BMW,M3,135.1055,6.5,309.0,3999.0,petrol,"1,383","14,930",661,"16,974"
184,Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,petrol,"6,366","9,477","1,029","16,872"
185,Hyundai,Matrix,18.513,4.6,76.0,1599.0,petrol,"6,321","9,531",789,"16,641"
186,Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,petrol,"8,634","6,539","1,288","16,461"
187,Mercedes,SLS,264.675,7.0,420.0,6208.0,petrol,"3,121","12,431",879,"16,431"
188,Audi,A2,23.0525,5.0,55.0,1406.0,petrol,"7,685","7,516","1,211","16,412"
189,BMW,Z3,39.7374,4.6,115.0,2234.4,petrol,"5,143","9,579",969,"15,691"
190,Volvo,C70,52.19640625,5.3125,126.5,2323.9375,petrol,"4,642","10,078",893,"15,613"
191,Skoda,Roomster,20.9225,5.375,68.875,1272.4375,petrol,"5,670","9,000",799,"15,469"
192,Suzuki,Splash,13.1466,4.8,55.4,1144.8,petrol,"7,977","6,376",905,"15,258"
193,Toyota,Previa,43.08,4.666666667,105.0,2239.666667,petrol,"3,863","10,252","1,118","15,233"
194,Toyota,Starlet,11.389,4.142857143,53.0,1308.285714,petrol,"7,546","6,266",811,"14,623"
195,Chevrolet,Aveo,18.615,5.2,69.6,1330.4,petrol,"6,839","6,945",728,"14,512"
196,Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,diesel,"3,053","10,247",967,"14,267"
197,Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,petrol,"4,687","9,004",571,"14,262"
198,Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,"2,989","10,398",823,"14,210"
199,Porsche,Cayenne,158.976,8.0,326.0,3295.0,petrol,"3,418","10,034",731,"14,183"
200,Alfa-Romeo,156,32.898125,5.333333333,116.2916667,2081.375,petrol,"2,428","10,882",646,"13,956"
201,BMW,640i,114.8758333,8.0,235.0,2979.0,petrol,"1,708","11,265",694,"13,667"
202,Chevrolet,Spark,11.395,5.0,52.5,1047.75,petrol,"7,685","5,142",744,"13,571"
203,Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,petrol,"6,758","6,012",769,"13,539"
204,Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,petrol,"3,970","8,910",620,"13,500"
205,Nissan,Pixo,9.465666667,4.666666667,50.0,996.0,petrol,"8,094","4,700",615,"13,409"
206,Honda,FR-V,33.12857143,5.285714286,103.0,1914.714286,petrol,"5,292","7,167",782,"13,241"
207,Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,petrol,"7,106","5,141",739,"12,986"
208,Rover,Mini,7.92,4.0,33.33333333,868.3333333,petrol,"4,739","7,690",550,"12,979"
209,Kia,Venga,23.58666667,5.25,81.16666667,1509.75,petrol,"5,303","7,343",290,"12,936"
210,Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,"9,672","2,304",899,"12,875"
211,Skoda,Felicia,11.370625,5.0,48.0,1518.0,petrol,"4,375","7,729",640,"12,744"
212,Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,diesel,"3,027","9,143",569,"10,739"
213,Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,"4,690","7,314",716,"11,720"
214,Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,"3,084","9,003",630,"12,717"
215,Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,petrol,"3,942","8,102",666,"12,710"
216, MG ,ZT,42.74666667,5.0,128.5,2548.833333,petrol,"1,541","10,660",405,"12,606"
217,Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,petrol,"5,405","6,065",737,"12,207"
218,Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,diesel,"2,167","9,293",668,"11,128"
219,Seat,Arosa,13.70454545,4.818181818,47.45454545,1384.0,petrol,"6,549","4,800",573,"11,922"
220,MG,ZS,30.99,0.0,105.0,335.0,autometic,"2,277","8,948",392,"11,617"
221,Honda,HR-V,32.723,3.6,96.0,1498.0,petrol,"4,377","6,436",715,"11,528"
222,Smart,City-coupe,13.2053,6.0,35.8,679.0,petrol,"5,197","4,946",662,"10,805"
