,Male
702,"2,807"
703,"2,229"
704,"2,664"
705,"3,175"
706,"1,751"
707,"2,292"
708,"2,563"
709,"2,819"
710,"1,526"
711,"2,021"
712,"2,419"
713,"2,482"
714,"2,245"
715,"2,372"
716,"2,252"
717,"2,299"
718,"2,085"
719,"2,569"
720,"2,700"
721,"2,037"
722,"1,731"
723,"2,569"
724,"2,598"
725,"2,357"
726,"1,959"
727,"1,375"
728,"2,161"
729,"2,177"
730,"2,189"
731,"1,624"
732,"1,755"
733,"2,233"
734,"1,975"
735,"1,619"
736,"1,860"
737,"1,980"
738,"1,604"
739,"1,489"
740,"1,689"
741,"1,976"
742,"1,606"
743,"1,857"
744,"1,672"
745,"1,609"
746,"1,485"
747,"1,889"
748,"1,314"
749,"1,820"
750,579
751,"1,259"
752,"1,847"
753,774
754,"1,265"
755,552
756,884
757,"1,593"
758,"1,507"
759,"1,671"
760,"1,517"
761,964
762,"1,166"
763,"1,083"
764,903
765,705
766,"1,312"
767,"1,399"
768,"1,104"
769,"1,247"
770,"1,272"
771,"1,262"
772,"1,074"
773,887
774,"1,211"
775,"1,193"
776,"1,021"
777,"1,179"
778,"1,093"
779,752
780,667
781,"1,043"
782,"1,120"
783,850
784,747
785,484
786,745
787,926
788,"1,106"
789,939
790,"1,095"
791,"1,059"
792,723
793,748
794,825
795,712
796,844
797,"1,026"
798,997
799,826
800,581
801,828
802,736
803,291
804,771554
805,523545
806,460814
807,251904
808,400861
809,192959
810,203850
811,416063
812,158671
813,241474
814,108637
815,245697
816,118678
817,169187
818,143057
819,212911
820,193345
821,195215
822,"91,010"
823,"85,168"
824,120182
825,117838
826,"95,847"
827,111645
828,131249
829,134919
830,"97,667"
831,"65,032"
832,117155
833,"80,964"
834,116331
835,"70,694"
836,"85,650"
837,"64,843"
838,"99,544"
839,"62,018"
840,"89,011"
841,"50,107"
842,"95,919"
843,"56,794"
844,"56,946"
845,"86,843"
846,"83,312"
847,"63,942"
848,"81,248"
849,"68,717"
850,"76,321"
851,"64,089"
852,"45,052"
853,"74,860"
854,"48,849"
855,"66,897"
856,"57,322"
857,"62,306"
858,"24,703"
859,"29,678"
860,"61,857"
861,"45,825"
862,"30,795"
863,"40,801"
864,"24,699"
865,"19,846"
866,"40,597"
867,"59,476"
868,"40,207"
869,"30,013"
870,"38,151"
871,"24,156"
872,"24,699"
873,"15,533"
874,"47,236"
875,"36,477"
876,"38,225"
877,"25,660"
878,"40,410"
879,"25,686"
880,"34,755"
881,"34,787"
882,"41,172"
883,"40,456"
884,"42,954"
885,"21,146"
886,"34,090"
887,"29,006"
888,"35,416"
889,"21,558"
890,"32,941"
891,"40,998"
892,"20,611"
893,"37,520"
894,"31,231"
895,"16,313"
896,"30,549"
897,"32,656"
898,"25,178"
899,"23,762"
900,"27,727"
901,"31,594"
902,"24,474"
903,"33,810"
904,"14,169"
905,"23,113"
906,"23,853"
907,"24,938"
908,"20,648"
909,"24,824"
910,"22,542"
911,"22,046"
912,"20,372"
913,"21,536"
914,"28,724"
915,"20,812"
916,"20,293"
917,"25,697"
918,"15,780"
919,"14,245"
920,"26,154"
921,"13,707"
922,"16,516"
923,"19,758"
924,"19,253"
925,"13,098"
926,"9,861"
927,"13,528"
928,"10,241"
929,"13,983"
930,"16,491"
931,"18,892"
932,"16,906"
933,"18,492"
934,"19,035"
935,"8,621"
936,"19,215"
937,"13,667"
938,"13,698"
939,"15,362"
940,"13,797"
941,"10,219"
942,"14,042"
943,"12,941"
944,"17,099"
945,"13,007"
946,"12,313"
947,"11,417"
948,"13,535"
949,"13,687"
950,"10,703"
951,"14,492"
952,"16,154"
953,"8,413"
954,"16,520"
955,"10,718"
956,"10,649"
957,"12,854"
958,"14,187"
959,"13,285"
960,"15,372"
961,"7,677"
962,"13,373"
963,"11,844"
964,"10,311"
965,"15,097"
966,"6,090"
967,"9,996"
968,"12,072"
969,"7,604"
970,"12,113"
971,"11,789"
972,"8,655"
973,"11,360"
974,"10,445"
975,"11,599"
976,"10,668"
977,"8,007"
978,"6,117"
979,"8,759"
980,"9,467"
981,"12,842"
982,"11,639"
983,"5,560"
984,"8,497"
985,"6,153"
986,"8,494"
987,"9,276"
988,"11,176"
989,"10,029"
990,"11,212"
991,"6,368"
992,"5,741"
993,"9,867"
994,"5,212"
995,"2,064"
996,"9,879"
997,"7,732"
998,"11,415"
999,"8,469"
1000,"6,944"
1001,"7,025"
1002,"9,881"
1003,"5,053"
1004,"7,931"
1005,"9,255"
1006,"5,549"
1007,"8,322"
1008,"5,033"
1009,"6,893"
1010,"5,514"
1011,"5,313"
1012,"7,651"
1013,"6,352"
1014,"8,577"
1015,"6,877"
1016,"5,039"
1017,"5,866"
1018,"3,826"
1019,"5,907"
1020,"6,584"
1021,"7,220"
1022,"8,240"
1023,"7,292"
1024,"7,102"
1025,"7,137"
1026,"7,616"
1027,"5,418"
1028,"5,450"
1029,"3,158"
1030,"5,963"
1031,"4,230"
1032,"5,750"
1033,"3,488"
1034,"5,023"
1035,"3,637"
1036,"5,803"
1037,"4,946"
1038,"6,557"
1039,"4,770"
1040,"6,072"
1041,"5,122"
1042,"6,356"
1043,"3,256"
1044,"5,213"
1045,"5,767"
1046,"2,943"
1047,"5,855"
1048,"5,318"
1049,"3,917"
1050,"4,005"
1051,"2,625"
1052,"5,411"
1053,"3,901"
1054,"4,845"
1055,"4,024"
1056,"4,976"
1057,"4,139"
1058,"4,815"
1059,"3,293"
1060,"3,452"
1061,"5,175"
1062,"3,712"
1063,"2,851"
1064,"3,437"
1065,"3,747"
1066,"3,089"
1067,"3,132"
1068,"3,411"
1069,"4,408"
1070,"4,137"
1071,"3,397"
1072,"3,691"
1073,"3,208"
1074,"3,492"
1075,"3,141"
1076,"3,243"
1077,"3,124"
1078,"3,631"
1079,"2,715"
1080,"2,891"
1081,"3,554"
1082,"3,774"
1083,"3,019"
1084,"3,264"
1085,"2,644"
1086,"2,763"
1087,"2,950"
1088,"2,899"
1089,"2,948"
1090,"2,294"
1091,"3,279"
1092,"2,241"
1093,"2,904"
1094,"1,716"
1095,"2,202"
1096,"1,825"
1097,"2,251"
1098,"2,368"
1099,"1,854"
1100,"2,172"
1101,"2,676"
1102,"2,804"
1103,"2,858"
1104,"2,263"
1105,"2,365"
1106,"2,693"
1107,"2,671"
1108,"2,213"
1109,"1,821"
1110,"1,989"
1111,"2,286"
1112,"2,200"
1113,"1,637"
1114,"1,349"
1115,"1,546"
1116,"2,367"
1117,"2,104"
1118,"2,225"
1119,"2,258"
1120,"2,071"
1121,"2,235"
1122,"1,741"
1123,"1,625"
1124,"1,272"
1125,"1,621"
1126,"2,123"
1127,"1,758"
1128,"1,931"
1129,"1,413"
1130,"1,043"
1131,"1,650"
1132,"1,554"
1133,"1,542"
1134,"1,410"
1135,"1,617"
1136,"1,419"
1137,"1,309"
1138,"1,864"
1139,"1,308"
1140,916
1141,764
1142,"1,755"
1143,540
1144,"1,259"
1145,"1,422"
1146,"1,296"
1147,993
1148,"1,602"
1149,"1,581"
1150,"1,410"
1151,"1,375"
1152,"1,528"
1153,"1,559"
1154,"1,049"
1155,"1,433"
1156,"1,373"
1157,"1,026"
1158,"1,077"
1159,470
1160,"1,248"
1161,"1,291"
1162,"1,150"
1163,"1,309"
1164,"1,273"
1165,"1,091"
1166,914
1167,"1,027"
1168,"1,215"
1169,"1,044"
1170,802
1171,838
1172,"1,069"
1173,953
1174,"1,120"
1175,800
1176,"1,083"
1177,749
1178,830
1179,821
1180,"1,101"
1181,"1,035"
1182,"1,042"
1183,975
1184,846
1185,"1,072"
1186,"1,003"
1187,572
1188,908
1189,964
1190,698
1191,962
1192,921
1193,608
1194,602
1195,685
1196,737225
1197,520479
1198,451080
1199,258405
1200,447663
1201,402366
1202,195791
1203,199588
1204,166609
1205,255189
1206,110107
1207,245788
1208,112400
1209,178716
1210,145149
1211,209388
1212,187583
1213,191779
1214,124092
1215,"83,601"
1216,109473
1217,"70,694"
1218,106811
1219,109602
1220,133115
1221,105854
1222,"90,171"
1223,134875
1224,121045
1225,"72,818"
1226,102885
1227,112052
1228,"58,454"
1229,113382
1230,"66,679"
1231,"75,759"
1232,"59,964"
1233,"87,224"
1234,"48,876"
1235,"94,595"
1236,"56,199"
1237,"93,147"
1238,"92,589"
1239,"58,385"
1240,"75,307"
1241,"66,138"
1242,"80,160"
1243,"76,869"
1244,"43,507"
1245,"54,632"
1246,"71,715"
1247,"46,140"
1248,"53,535"
1249,"62,377"
1250,"62,838"
1251,"54,188"
1252,"64,971"
1253,"29,724"
1254,"40,356"
1255,"37,729"
1256,"26,278"
1257,"41,454"
1258,"21,409"
1259,"48,759"
1260,"15,621"
1261,"21,005"
1262,"27,628"
1263,"40,682"
1264,"26,246"
1265,"32,971"
1266,"20,790"
1267,"21,425"
1268,"39,672"
1269,"31,138"
1270,"39,627"
1271,"39,118"
1272,"42,130"
1273,"14,548"
1274,"30,870"
1275,"21,012"
1276,"34,664"
1277,"42,433"
1278,"29,784"
1279,"32,756"
1280,"27,899"
1281,"21,357"
1282,"28,270"
1283,"38,293"
1284,"31,808"
1285,"20,002"
1286,"35,754"
1287,"25,875"
1288,"19,073"
1289,"32,068"
1290,"30,073"
1291,"24,543"
1292,"33,535"
1293,"25,745"
1294,"15,065"
1295,"35,805"
1296,"15,039"
1297,"25,438"
1298,"21,695"
1299,"22,194"
1300,"28,375"
1301,"22,018"
1302,"25,769"
1303,"19,865"
1304,"14,969"
1305,"11,065"
1306,"19,602"
1307,"20,679"
1308,"19,115"
1309,"18,424"
1310,"17,374"
1311,"12,893"
1312,"20,303"
1313,"17,486"
1314,"12,661"
1315,"18,974"
1316,"9,512"
1317,"17,822"
1318,"20,355"
1319,"14,173"
1320,"8,452"
1321,"14,810"
1322,"15,565"
1323,"15,561"
1324,"11,952"
1325,"17,517"
1326,"15,321"
1327,"15,046"
1328,"14,395"
1329,"12,357"
