Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,"27,977","21,142","2,495","51,614"
Hyundai,I30,28.61,5.95,100.59,1387.62,petrol,"18,187","31,244","2,059","51,490"
Jaguar,XF,78.75,8.0,176.25,1997.0,diesel,"4,860","43,857","1,940","50,657"
Audi,A1,27.08,6.23,86.64,1377.57,petrol,"29,771","17,678","2,342","49,791"
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,"25,109","20,915","2,781","48,805"
Audi,A5,59.43,7.0,150.45,1981.82,petrol,"9,131","35,411","2,161","46,703"
Ford,Kuga,38.75,0.0,165.0,2488.0,petrol,"16,836","27,761","1,331","45,928"
Toyota,Prius,33.8,0.0,96.0,1797.4,petrol,"10,848","29,616","4,383","44,847"
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,"5,033","36,990","1,853","43,876"
Volvo,V50,36.52,5.18,113.35,2106.5,petrol,"11,687","29,574","2,481","43,742"
Ford,Escort,16.21,4.46,63.56,1650.21,petrol,"10,678","31,223","1,626","43,527"
Volvo,XC90,85.83,8.0,213.15,1969.0,petrol,"12,860","26,579","2,834","42,273"
Citroen,C5,34.91,5.6,104.23,1805.92,diesel,"6,565","33,777","1,831","42,173"
Volvo,V40,35.81,6.29,117.43,1921.47,peatrol,"10,836","28,059","2,413","41,308"
BMW,X3,76.59,8.0,184.0,2396.4,petrol,"13,661","24,013","2,645","40,319"
Volkswagen,Tiguan,44.31,6.71,108.0,1663.93,petrol,"14,542","23,104","1,750","39,396"
Mercedes,B,41.39,7.29,105.71,1545.43,diesel,"15,501","19,092","2,148","36,741"
Smart,Fortwo,19.97,2.81,55.38,592.56,automatic,"16,848","17,738","2,113","36,699"
Volkswagen,Bora,25.4,4.65,78.85,1891.59,petrol,"7,942","26,706","1,758","36,406"
Rover,45,23.32,3.75,84.2,1853.9,petrol,"8,533","25,441","1,547","35,521"
Porsche,911,158.79,7.47,293.53,3005.4,petrol,"3,418","29,960","1,599","34,977"
Jaguar,XJ,137.57,8.0,223.55,2813.0,petrol,"2,641","30,739","1,496","34,876"
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,"5,965","27,537","1,348","34,850"
Saab,09-May,52.96,5.65,146.12,2031.47,petrol,"5,562","26,909","1,856","34,327"
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,"8,349","23,509","1,694","33,552"
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,"7,747","23,214","2,551","33,512"
Hyundai,Santa,44.14,6.55,144.64,2242.64,diasel,"9,212","22,644","1,516","33,372"
Peugeot,208,22.85,6.52,73.24,1241.86,peatrol,"17,430","13,875","1,215","32,520"
Volvo,S60,52.08,8.0,223.83,1969.0,petrol,"4,913","25,331","1,689","31,933"
Citroen,DS3,23.36,5.25,81.29,1410.36,petrol,"17,367","13,057","1,231","31,655"
Renault,Modus,17.82,4.67,70.33,1298.67,petrol,"15,260","13,701","1,747","30,708"
MG,ZR,21.02,5.0,92.33,1729.33,petrol,"9,964","19,477","1,264","30,705"
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diasel,"9,318","19,359","1,712","30,389"
Kia,Sorento,36.01,6.0,151.67,2048.67,petrol,"7,821","20,969",907,"29,697"
BMW,Z4,64.11,6.75,202.12,2778.0,petrol,"8,462","19,343","1,748","29,553"
Rover,2000,17.18,5.0,74.0,1994.0,petrol,"10,492","17,725","1,320","29,537"
