,Engine CC
450,1186.333333
451,1920.026316
452,2151.647059
453,1366.294118
454,1820.65625
455,2790.454545
456,1998.0
457,998.0
458,1367.272727
459,1470.909091
460,1855.0
461,1718.571429
462,998.0
463,998.0
464,1615.370787
465,2095.185185
466,1348.285714
467,998.0
468,1180.545455
469,1905.631579
470,2011.555556
471,1971.163636
472,1028.923077
473,1482.5
474,1496.0
475,2043.820513
476,1095.777778
477,1515.282051
478,1933.021739
479,1475.0
480,1928.714286
481,1650.205128
482,1528.807692
483,1310.0
484,2106.5
485,2994.666667
486,3041.0
487,1424.857143
488,998.0
489,1774.8125
490,1452.0
491,2178.192308
492,1382.75
493,1448.6
494,2748.333333
495,2876.0
496,1374.046512
497,1460.795455
498,2934.631579
499,996.0
500,1805.924528
501,1886.555556
502,1994.0
503,1052.272727
504,1853.9
505,1921.46789
506,1387.621622
507,2106.5
508,1797.4
509,1634.2
510,1891.588235
511,1997.0
512,1969.0
513,1757.6
514,2031.469388
515,999.0
516,1861.833333
517,2488.0
518,2813.0
519,1729.333333
520,1981.818182
521,2396.4
522,1854.2
523,3005.4
524,1683.607843
525,935.625
526,2719.842105
527,1969.0
528,592.5625
529,2242.636364
530,1545.428571
531,1837.363636
532,1377.566265
533,1298.666667
534,1479.0
535,1663.928571
536,1090.4
537,1372.666667
538,850.2727273
539,2778.0
540,2048.666667
541,3071.0
542,1798.0
543,1373.75
544,1108.0
545,1774.778947
546,2093.021739
547,2222.710526
548,1746.944444
549,1391.023256
550,1197.0
551,1466.307692
552,1622.681818
553,1802.774194
554,1755.75
555,1587.222222
556,1794.0
557,1750.615385
558,1995.0
559,1410.357143
560,1754.4
561,1596.92
562,1986.766667
563,1534.392857
564,1586.0
565,2967.0
566,2238.631579
567,2998.0
568,2081.375
569,1352.576923
570,1336.666667
571,1709.538462
572,1518.0
573,1599.0
574,3999.0
575,2239.666667
576,1406.0
577,1523.741935
578,1308.285714
579,2234.4
580,1740.0
581,1592.0
582,958.6
583,2976.333333
584,2323.9375
585,6208.0
586,1773.7
587,2084.37931
588,2048.538462
589,1152.888889
590,1791.230769
591,2697.368421
592,868.3333333
593,1624.769231
594,2548.833333
595,1353.363636
596,1863.133333
597,1817.315789
598,1926.0
599,335.0
600,1183.25
601,1597.0
602,1914.714286
603,1272.4375
604,1384.0
605,1612.928571
606,2174.037037
607,1452.3
608,1330.4
609,3295.0
610,996.0
611,2304.97561
612,1498.0
613,1753.0
614,2085.055556
615,999.0
616,1430.75
617,2979.0
618,1144.8
619,1506.5
620,2313.666667
621,1495.0
622,2208.090909
623,2294.764706
624,679.0
625,1950.90625
626,2316.0
627,1047.75
628,1982.756098
629,1523.333333
630,2981.0
631,1615.333333
632,5000.0
633,1703.153846
634,1241.857143
635,1324.357143
636,1509.75
637,2588.6
638,5577.8
639,2027.833333
640,2053.0
641,2972.307692
642,1984.0
643,160.0
644,285.0
645,2276.0
646,2284.133333
647,2460.75
648,4123.5
649,1428.4
650,1938.0
651,2117.6
652,1407.333333
653,3498.0
654,1997.0
655,5000.0
656,2526.5
657,1775.777778
658,2362.0
659,1405.0
660,3071.0
661,1773.0
662,1972.8125
663,1339.0
664,1552.0
665,1695.0
666,1911.75
667,3764.333333
668,2331.333333
669,1294.142857
670,1329.0
671,1730.0
672,1242.0
673,1742.6
674,1998.0
675,1998.0
676,1642.333333
677,1836.5
678,1995.0
679,698.0
680,2247.333333
681,2019.75
682,3344.75
683,5341.0
684,1798.0
685,2696.5
686,1329.0
687,2050.333333
688,899.0
689,2126.8
690,2336.52
691,1817.315789
692,3100.333333
693,1997.142857
694,5935.0
695,2315.0
696,1827.8
697,1741.0
698,1832.888889
699,1039.5
700,1833.0
701,3199.0
702,2127.333333
703,2378.0
704,2309.340426
705,4395.0
706,1344.823529
707,1655.741935
708,1968.0
709,1925.25
710,999.0
711,1363.5
712,1969.0
713,2116.0
714,3377.444444
715,1706.333333
716,1998.0
717,1836.875
718,1594.0
719,1642.04878
720,3740.0
721,2309.0
722,1497.0
723,2734.5
724,1864.8
725,2344.0
726,1908.166667
727,1586.0
728,2245.6
729,2679.285714
730,2981.0
731,1304.0
732,2287.6
733,2967.0
734,2953.588235
735,3498.0
736,0.0
737,1781.0
738,2417.875
739,2308.285714
740,2167.5
741,2998.0
742,3106.666667
743,3196.555556
744,2634.222222
745,2309.340426
746,2254.0
747,2326.358974
748,1360.0
749,3228.0
750,1261.25
751,1707.125
752,2521.092437
753,1343.0
754,2614.0
755,1298.0
756,998.0
757,1647.4
758,1809.714286
759,4857.0
760,2458.909091
761,1721.5
762,1735.580645
763,2184.0
764,2093.021739
765,1431.333333
766,2393.0
767,4089.923077
768,1688.25
769,1773.823529
770,3358.666667
771,1980.634146
772,1642.875
773,3456.0
774,2118.940476
775,3307.25
776,2244.0
777,4493.5
778,3696.0
779,1360.0
780,1324.0
781,2349.08
782,1549.8
783,1645.133333
784,1288.5
785,999.0
786,1541.5
787,1998.0
788,4691.0
789,1891.7
790,3640.2
791,5733.0
792,1574.428571
793,1998.0
794,1962.058824
795,2129.0
796,1936.6
797,3799.0
798,2144.0
799,2768.511628
800,1591.0
801,1593.111111
802,1932.153846
803,1424.727273
804,1497.169492
805,1166.142857
806,1537.406593
807,1219.653846
808,1995.777778
809,1631.5
810,1408.055556
811,1998.5
812,1279.695652
813,1623.793103
814,1196.0
815,1480.575
816,1397.8
